_id,Id_barrio,Cod_barrio,Cod_comuna,Nombre,Area (ha),Perimetro (m),Estrato_moda
214,1406,1406,14,Jose Manuel Marroquin I,60.09,3575.6,2
215,1495,1495,14,Puerta del Sol,19.6,1917.1,1
216,1496,1496,14,Los Naranjos,8.3,1160.7,1
217,1498,1498,14,Promociones Populares B,58.91,4035.5,1
218,1499,1499,14,Los Naranjos II,26.88,2465.8,1
219,1501,1501,15,El Retiro,23.87,2371.9,1
220,1502,1502,15,Los Comuneros I,46.25,3673.4,2
221,1503,1503,15,Laureano Gómez,22.34,2820.6,1
222,1504,1504,15,El Vallado,42.26,3275.3,2
223,1596,1596,15,Ciudad Córdoba,91.74,4675.7,3
224,1598,1598,15,Mojica,59.99,3307.5,1
225,1599,1599,15,El Morichal,119.64,4946.6,2
226,1601,1601,16,Mariano Ramos,92.33,3799.4,2
227,1602,1602,16,Republica de Israel,57.19,3336.7,2
228,1603,1603,16,Unión de Vivieda Popular,64.72,3480.6,2
229,1604,1604,16,Antonio Nariño,78.03,3962.5,2
230,1605,1605,16,Brisas del Limonar,7.1,1154.4,2
231,1697,1697,16,Ciudad 2000,96.53,4610.4,4
232,1698,1698,16,La Alborada,7.28,1261,3
233,1600,1600,16,Area desocupada comuna 16,21.39,2109.8,0
234,1701,1701,17,La Playa,2.49,700.6,3
235,1702,1702,17,Primero de Mayo,30.89,2400.7,4
236,1703,1703,17,Ciudadela Comfandi,31.6,2364.8,3
237,1705,1705,17,Ciudad Universitaria,106.46,4289.1,10
238,1774,1774,17,Caney,104.03,5704.5,4
239,1775,1775,17,Lili,198.24,6203.9,4
240,1778,1778,17,Santa Anita - La selva,47.38,2960.1,5
241,1780,1780,17,El Ingenio,104.21,4668.2,5
242,1781,1781,17,Mayapan - Las Vegas,50.49,3603.8,5
243,1782,1782,17,Las Quintas de Don Simon,34.68,2379.7,5
244,1783,1783,17,Ciudad Capri,47.88,2715.8,5
245,1784,1784,17,La Hacienda,71.85,3857.7,5
246,1785,1785,17,Los Portales - Nuevo Rey,37.61,2742.7,5
247,1786,1786,17,Cañaverales - Los Samanes,48.95,2958.9,3
248,1787,1787,17,El Limonar,46.62,2954.9,3
249,1788,1788,17,Bosques del Limonar,37.54,2772.1,4
250,1789,1789,17,El Gran Limonar - Cataya,34.76,2533.2,5
251,1790,1790,17,El Gran Limonar,31.52,2840.7,5
252,1791,1791,17,Unicentro Cali,41.67,3532.5,5
253,1793,1793,17,Ciudadela Pasoancho,18.32,2078.5,5
254,1794,1794,17,Prados del Limonar,56.65,3212.1,4
255,1796,1796,17,Urbanización San Joaquin,71.92,4537,5
256,1801,1801,18,Buenos Aires,20.97,2227,3
257,1802,1802,18,Caldas,15.16,2076,3
258,1803,1803,18,Los Chorros,13.48,1635.2,3
259,1804,1804,18,Meléndez,22.92,1994.9,3
260,1805,1805,18,Los Farallones,5.31,954.3,3
261,1807,1807,18,Francisco Eladio Ramírez,12.12,1560.6,3
262,1808,1808,18,Prados del Sur,14.49,1597.5,2
263,1809,1809,18,Horizontes,10.85,1269.2,3
264,1810,1810,18,Mario Correa Rengifo,11.76,1523.2,2
265,1811,1811,18,Lourdes,13.36,1501.2,2
266,1812,1812,18,Colinas del Sur,2.81,827.2,3
267,1813,1813,18,Alférez Real,22.59,2612.7,3
268,1814,1814,18,Nápoles,8.38,1358.7,3
269,1815,1815,18,El Jordán,22.38,2377.4,2
270,1816,1816,18,Cuarteles de Nápoles,112.49,4965.2,2
271,1890,1890,18,Sector Alto de los Chorros,38.43,3482.8,1
272,1891,1891,18,Polvorines,77.48,4632.6,2
273,1896,1896,18,Sector Meléndez,25.45,3064,3
274,1897,1897,18,Sector Alto Jordán,48.58,3108.7,1
275,1898,1898,18,Alto Nápoles,43.84,5232.8,1
276,1901,1901,19,El Refugio,61.94,3705.5,4
277,1902,1902,19,La Cascada,21.16,2661.8,5
278,1903,1903,19,El Lido,56.87,3232.4,5
279,1904,1904,19,Urbanización Tequendama,36.99,2414.9,5
280,1905,1905,19,Eucaristico,29.25,2325.8,4
281,1906,1906,19,San Fernando Nuevo,44.46,2897.2,4
282,1907,1907,19,Urbanización Nueva Granada,13.48,1692.5,4
283,1908,1908,19,Santa Isabel,53.64,3661.5,4
284,1909,1909,19,Bellavista,48.07,4008.4,2
285,1910,1910,19,San Fernando Viejo,67.06,4255.2,4
286,1911,1911,19,Miraflores,20.9,2049.5,4
287,1912,1912,19,3 de Julio,21.11,2369.4,4
288,1913,1913,19,El Cedro,34.54,2855.9,4
289,1914,1914,19,Champagnat,48.18,3504,4
290,1915,1915,19,Urbanización Colseguros,36.99,3407.7,4
291,1916,1916,19,Los Cambulos,41.29,2615.3,4
292,1917,1917,19,El Mortiñal,12.69,1379.1,2
293,1918,1918,19,Urbanización Militar,21.96,1959.8,4
294,1919,1919,19,Cuarto de Legua - Guadalupe,37.48,2860.9,5
295,1921,1921,19,Nueva Tequendama,45.32,2949.8,5
296,1922,1922,19,Camino Real - Joaquin Borrero Sinisterra,29.49,2406.4,5
297,1923,1923,19,Camino Real - Los Fundadores,20.05,1926.1,5
298,1981,1981,19,Sector Altos de Santa Isabel,48.31,3406.2,6
299,1982,1982,19,Santa Barbara,3.38,866.2,5
300,1983,1983,19,Tejares - Cristales,57.56,3835.8,6
301,1984,1984,19,Unidad Residencial Santiago de Cali,19.73,2023.8,4
302,1985,1985,19,Unidad Residencial El Coliseo,9.97,1364.3,4
303,1988,1988,19,Cañaveralejo - Seguros Patria,30.51,2304.3,5
304,1992,1992,19,Cañaveral,11.81,1934.4,6
305,1994,1994,19,Pampalinda,55.25,3242.2,5
306,1995,1995,19,Sector Cañaveralejo Guadalupe Antigua,37.62,6553.6,5
307,1997,1997,19,Sector Bosque Municipal,22.01,3444.3,1
308,1999,1999,19,U. D. A. Galindo Plaza Toros,32.72,2476.6,10
309,2001,2001,20,El Cortijo,4.06,1040.7,2
310,2002,2002,20,Belisario Caicedo,12.49,1709,3
311,2003,2003,20,Siloé,71.06,4437.5,1
312,2004,2004,20,Lleras Camargo,36.47,3048.8,1
313,2005,2005,20,Belen,18.51,2544.2,1
314,2006,2006,20,Brisas de Mayo,20.74,2408.8,1
315,2007,2007,20,Tierra Blanca,5.84,1225.4,1
316,2008,2008,20,Pueblo Joven,7.17,1446.9,1
317,2098,2098,20,Venezuela - Urb. Cañaveralejo,22.07,3135.4,1
318,2099,2099,20,La Sultana,19.21,2550.5,1
319,2101,2101,21,Pizamos I,16.69,1640.6,1
320,2102,2102,21,Pizamos II,27.12,3637.3,1
321,2103,2103,21,Calimio Decepaz,50.99,3069.4,1
